date,pm25,pm10,o3,no2,so2,co
2023-11-02,211.0,102.0,34.0,11.0,1.0,6.0
2023-11-03,142.0,38.0,17.0,8.0,1.0,1.0
2023-11-04,24.0,65.0,16.0,20.0,1.0,4.0
2023-11-05,77.0,46.0,23.0,14.0,,3.0
2023-11-06,68.0,43.0,22.0,4.0,,1.0
2023-11-07,38.0,45.0,15.0,18.0,1.0,3.0
2023-11-08,78.0,57.0,17.0,21.0,,5.0
2023-11-09,101.0,17.0,23.0,5.0,,2.0
2023-11-10,19.0,17.0,20.0,6.0,1.0,1.0
2023-11-11,25.0,16.0,22.0,7.0,,2.0
2023-11-12,35.0,19.0,23.0,4.0,,1.0
2023-11-13,28.0,49.0,17.0,20.0,,4.0
2023-11-14,104.0,79.0,14.0,33.0,1.0,7.0
2023-11-15,151.0,77.0,15.0,27.0,1.0,7.0
2023-11-16,130.0,32.0,25.0,4.0,,1.0
2023-11-17,23.0,22.0,24.0,4.0,,3.0
2023-11-18,24.0,41.0,16.0,20.0,1.0,4.0
2023-11-19,68.0,59.0,,32.0,1.0,8.0
2023-11-20,104.0,,,,,
2023-10-02,39.0,56.0,38.0,19.0,2.0,4.0
2023-10-03,94.0,58.0,61.0,14.0,1.0,5.0
2023-10-04,106.0,17.0,27.0,12.0,,2.0
2023-10-05,32.0,23.0,24.0,14.0,,1.0
2023-10-06,35.0,35.0,25.0,15.0,,2.0
2023-10-07,56.0,61.0,34.0,21.0,1.0,4.0
2023-10-08,104.0,43.0,31.0,16.0,,3.0
2023-10-09,81.0,17.0,31.0,9.0,1.0,2.0
2023-10-10,31.0,25.0,38.0,15.0,,3.0
2023-10-11,50.0,54.0,51.0,20.0,,5.0
2023-10-12,93.0,91.0,11.0,40.0,1.0,8.0
2023-10-13,165.0,45.0,31.0,19.0,,5.0
2023-10-14,97.0,20.0,33.0,17.0,,3.0
2023-10-15,37.0,31.0,29.0,16.0,,2.0
2023-10-16,45.0,38.0,32.0,18.0,1.0,3.0
2023-10-17,51.0,64.0,38.0,23.0,,6.0
2023-10-18,109.0,27.0,28.0,12.0,6.0,2.0
2023-10-19,52.0,20.0,25.0,7.0,,1.0
2023-10-20,20.0,20.0,25.0,6.0,,1.0
2023-10-21,27.0,40.0,24.0,18.0,,2.0
2023-10-22,56.0,54.0,24.0,23.0,,4.0
2023-10-23,83.0,108.0,27.0,37.0,2.0,9.0
2023-10-24,170.0,126.0,57.0,31.0,1.0,10.0
2023-10-25,194.0,100.0,42.0,38.0,,9.0
2023-10-26,164.0,35.0,23.0,18.0,1.0,2.0
2023-10-27,38.0,68.0,23.0,27.0,1.0,5.0
2023-10-28,92.0,101.0,33.0,30.0,2.0,9.0
2023-10-29,149.0,136.0,37.0,29.0,,13.0
2023-10-30,195.0,121.0,57.0,22.0,,11.0
2023-10-31,192.0,105.0,36.0,17.0,,8.0
2023-11-01,168.0,137.0,47.0,26.0,,11.0
2023-07-02,76.0,59.0,134.0,12.0,1.0,4.0
2023-07-03,103.0,53.0,95.0,6.0,,7.0
2023-07-04,112.0,23.0,68.0,6.0,,3.0
2023-07-05,60.0,46.0,76.0,15.0,,3.0
2023-07-06,64.0,49.0,105.0,20.0,,3.0
2023-07-07,56.0,42.0,65.0,9.0,,3.0
2023-07-08,54.0,15.0,47.0,8.0,1.0,1.0
2023-07-09,21.0,18.0,64.0,6.0,,1.0
2023-07-10,33.0,48.0,124.0,11.0,1.0,4.0
2023-07-11,70.0,36.0,105.0,6.0,,4.0
2023-07-12,67.0,31.0,42.0,7.0,,7.0
2023-07-13,83.0,20.0,36.0,8.0,2.0,5.0
2023-07-14,63.0,25.0,47.0,6.0,,3.0
2023-07-15,63.0,15.0,41.0,4.0,1.0,1.0
2023-07-16,32.0,21.0,65.0,8.0,,1.0
2023-07-17,47.0,45.0,104.0,11.0,,3.0
2023-07-18,77.0,52.0,103.0,11.0,1.0,4.0
2023-07-19,95.0,54.0,111.0,12.0,,3.0
2023-07-20,98.0,56.0,96.0,13.0,1.0,4.0
2023-07-21,105.0,43.0,55.0,7.0,1.0,5.0
2023-07-22,102.0,28.0,33.0,6.0,,5.0
2023-07-23,78.0,30.0,76.0,11.0,,6.0
2023-07-24,69.0,52.0,97.0,9.0,,5.0
2023-07-25,106.0,23.0,104.0,7.0,,3.0
2023-07-26,48.0,49.0,85.0,9.0,1.0,6.0
2023-07-27,104.0,42.0,89.0,12.0,1.0,5.0
2023-07-28,94.0,22.0,46.0,9.0,1.0,4.0
2023-07-29,50.0,32.0,16.0,13.0,,5.0
2023-07-30,69.0,8.0,30.0,5.0,1.0,4.0
2023-07-31,24.0,22.0,17.0,5.0,,3.0
2023-08-01,51.0,36.0,35.0,7.0,1.0,5.0
2023-08-02,84.0,32.0,44.0,6.0,3.0,4.0
2023-08-03,83.0,54.0,50.0,6.0,,5.0
2023-08-04,125.0,34.0,64.0,15.0,1.0,4.0
2023-08-05,81.0,30.0,50.0,12.0,,2.0
2023-08-06,54.0,29.0,44.0,7.0,,6.0
2023-08-07,55.0,44.0,45.0,11.0,,5.0
2023-08-08,81.0,54.0,66.0,12.0,3.0,6.0
2023-08-09,119.0,62.0,78.0,11.0,3.0,8.0
2023-08-10,137.0,60.0,87.0,8.0,1.0,8.0
2023-08-11,126.0,60.0,34.0,15.0,,6.0
2023-08-12,121.0,13.0,47.0,8.0,,4.0
2023-08-13,37.0,19.0,67.0,7.0,1.0,3.0
2023-08-14,43.0,40.0,80.0,11.0,,4.0
2023-08-15,71.0,49.0,83.0,10.0,,4.0
2023-08-16,85.0,53.0,98.0,9.0,,5.0
2023-08-17,94.0,39.0,109.0,9.0,,7.0
2023-08-18,89.0,44.0,62.0,13.0,,3.0
2023-08-19,72.0,58.0,110.0,14.0,,4.0
2023-08-20,92.0,59.0,56.0,14.0,,6.0
2023-08-21,116.0,15.0,76.0,6.0,,4.0
2023-08-22,35.0,19.0,45.0,10.0,,3.0
2023-08-23,27.0,30.0,70.0,9.0,1.0,2.0
2023-08-24,40.0,18.0,42.0,8.0,1.0,2.0
2023-08-25,46.0,28.0,62.0,9.0,1.0,2.0
2023-08-26,64.0,25.0,51.0,9.0,,3.0
2023-08-27,58.0,39.0,51.0,14.0,,5.0
2023-08-28,82.0,24.0,43.0,9.0,,3.0
2023-08-29,49.0,24.0,43.0,11.0,,2.0
2023-08-30,45.0,35.0,67.0,12.0,,3.0
2023-08-31,64.0,41.0,67.0,12.0,,4.0
2023-09-01,81.0,36.0,65.0,13.0,,5.0
2023-09-02,74.0,53.0,74.0,15.0,,5.0
2023-09-03,96.0,43.0,92.0,11.0,,5.0
2023-09-04,106.0,63.0,92.0,17.0,,7.0
2023-09-05,140.0,79.0,91.0,13.0,,8.0
2023-09-06,161.0,67.0,92.0,16.0,,7.0
2023-09-07,147.0,68.0,77.0,9.0,,6.0
2023-09-08,142.0,79.0,44.0,16.0,,8.0
2023-09-09,164.0,20.0,41.0,7.0,,4.0
2023-09-10,69.0,28.0,41.0,7.0,,4.0
2023-09-11,75.0,37.0,48.0,9.0,,5.0
2023-09-12,89.0,18.0,42.0,10.0,,3.0
2023-09-13,34.0,43.0,56.0,14.0,,4.0
2023-09-14,56.0,49.0,76.0,16.0,,4.0
2023-09-15,78.0,56.0,88.0,21.0,1.0,4.0
2023-09-16,96.0,71.0,93.0,22.0,1.0,6.0
2023-09-17,138.0,70.0,66.0,13.0,1.0,6.0
2023-09-18,147.0,37.0,72.0,12.0,1.0,4.0
2023-09-19,80.0,25.0,25.0,16.0,1.0,3.0
2023-09-20,42.0,23.0,36.0,13.0,,3.0
2023-09-21,35.0,48.0,57.0,16.0,,4.0
2023-09-22,67.0,25.0,34.0,12.0,,2.0
2023-09-23,38.0,37.0,41.0,15.0,1.0,4.0
2023-09-24,57.0,52.0,19.0,21.0,,5.0
2023-09-25,79.0,52.0,30.0,17.0,,5.0
2023-09-26,91.0,69.0,34.0,24.0,,7.0
2023-09-27,140.0,54.0,34.0,19.0,,6.0
2023-09-28,104.0,30.0,29.0,20.0,,3.0
2023-09-29,39.0,46.0,36.0,15.0,1.0,4.0
2023-09-30,56.0,16.0,32.0,7.0,1.0,3.0
2023-10-01,22.0,27.0,33.0,12.0,1.0,2.0
2023-04-02,138.0,92.0,56.0,26.0,3.0,5.0
2023-04-03,163.0,73.0,49.0,15.0,2.0,6.0
2023-04-04,132.0,40.0,33.0,7.0,1.0,2.0
2023-04-05,66.0,34.0,38.0,7.0,1.0,1.0
2023-04-06,70.0,39.0,34.0,5.0,,1.0
2023-04-07,56.0,32.0,35.0,3.0,,1.0
2023-04-08,24.0,46.0,37.0,9.0,,1.0
2023-04-09,57.0,87.0,47.0,21.0,1.0,4.0
2023-04-10,152.0,233.0,44.0,27.0,1.0,6.0
2023-04-11,188.0,456.0,37.0,2.0,,2.0
2023-04-12,203.0,373.0,33.0,15.0,1.0,3.0
2023-04-13,193.0,552.0,32.0,27.0,2.0,6.0
2023-04-14,224.0,189.0,41.0,14.0,2.0,4.0
2023-04-15,167.0,70.0,37.0,10.0,,1.0
2023-04-16,108.0,49.0,39.0,14.0,,1.0
2023-04-17,76.0,92.0,42.0,16.0,3.0,4.0
2023-04-18,128.0,71.0,55.0,21.0,1.0,4.0
2023-04-19,99.0,77.0,81.0,18.0,1.0,4.0
